0,0
2,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,1
48,1
50,1
52,1
54,1
56,1
58,1
60,1
62,1
64,1
66,1
68,1
70,1
72,1
74,1
76,1
78,1
80,1
82,1
84,1
86,1
88,1
90,1
92,1
94,1
96,1
98,1
100,1
102,1
104,1
106,1
108,1
110,1
112,1
114,1
116,1
118,1
120,1
122,1
124,1
126,1
128,1
130,1
132,1
134,1
136,0.5
138,0.5
140,0.5
142,0.5
144,0.5
146,0.5
148,0.5
150,0.5
152,0.5
154,0.5
156,0.5
158,0.5
160,0.5
162,0.5
164,0.5
166,0.5
168,0.5
170,0.5
172,0.5
174,0.5
176,0.5
178,0.5
180,0.5
182,0.5
184,0.5
186,0.5
188,0.5
190,0.5
192,0.5
194,0.5
196,0.5
198,0.5
200,0.5
202,0.5
204,0.5
206,0.5
208,0.5
210,0.5
212,0.5
214,0.5
216,0.5
218,0.5
220,0.5
222,0.5
224,0.5
226,1
228,1
230,1
232,1
234,1
236,1
238,1
240,1
242,1
244,1
246,1
248,1
250,1
252,1
254,1
256,1
258,1
260,1
262,1
264,1
266,1
268,1
270,1
272,1
274,1
276,1
278,1
280,1
282,1
284,1
286,1
288,1
290,1
292,1
294,1
296,1
298,1
300,1
302,1
304,1
306,1
308,1
310,1
312,1
314,1
316,0
318,0
320,0
322,0
324,0
326,0
328,0
330,0
332,0
334,0
336,0
338,0
340,0
342,0
344,0
346,0
348,0
350,0
352,0
354,0
356,0
358,0
360,0
